squawk,function
0406,RAF Lakenheath
0407,RAF Lakenheath
0408,RAF Lakenheath
0409,RAF Lakenheath
0410,RAF Lakenheath
0411,RAF Lakenheath
0412,RAF Lakenheath
0413,RAF Lakenheath
0414,RAF Lakenheath
0415,RAF Lakenheath
0416,RAF Lakenheath
0417,RAF Lakenheath
0418,RAF Lakenheath
0419,RAF Lakenheath
0420,RAF Lakenheath
0421,RAF Lakenheath
0422,RAF Lakenheath
0423,RAF Lakenheath
0424,RAF Lakenheath
0425,RAF Lakenheath
0426,RAF Lakenheath
0427,RAF Lakenheath
0428,RAF Lakenheath
0429,RAF Lakenheath
0430,RAF Lakenheath
0431,RAF Lakenheath
0432,RAF Lakenheath
0433,RAF Lakenheath
0434,RAF Lakenheath
0435,RAF Lakenheath
0436,RAF Lakenheath
0437,RAF Lakenheath
0438,RAF Lakenheath
0439,RAF Lakenheath
0440,RAF Lakenheath
0441,RAF Lakenheath
0442,RAF Lakenheath
0443,RAF Lakenheath
0444,RAF Lakenheath
0445,RAF Lakenheath
0446,RAF Lakenheath
0447,RAF Lakenheath
0448,RAF Lakenheath
0449,RAF Lakenheath
0450,RAF Lakenheath
0451,RAF Lakenheath
0452,RAF Lakenheath
0453,RAF Lakenheath
0454,RAF Lakenheath
0455,RAF Lakenheath
0456,RAF Lakenheath
0457,RAF Lakenheath
0458,RAF Lakenheath
0459,RAF Lakenheath
0460,RAF Lakenheath
0461,RAF Lakenheath
0402,RAF Leeming
0403,RAF Leeming
0404,RAF Leeming
0405,RAF Leeming
0406,RAF Leeming
0407,RAF Leeming
0408,RAF Leeming
0409,RAF Leeming
0410,RAF Leeming
0411,RAF Leeming
0412,RAF Leeming
0413,RAF Leeming
0414,RAF Leeming
0415,RAF Leeming
0416,RAF Leeming
0417,RAF Leeming
0418,RAF Leeming
0419,RAF Leeming
0420,RAF Leeming
0421,RAF Leeming
0422,RAF Leeming
0423,RAF Leeming
0424,RAF Leeming
0425,RAF Leeming
0426,RAF Leeming
0427,RAF Leeming
0428,RAF Leeming
0429,RAF Leeming
0430,RAF Leeming
0431,RAF Leeming
0432,RAF Leeming
0433,RAF Leeming
0434,RAF Leeming
0435,RAF Leeming
0436,RAF Leeming
0437,RAF Leeming
0420,ATC CONSPICUITY Coventry
0421,ATC IFR/SVFR Farnborough
0422,ATC IFR/SVFR Farnborough
0423,ATC IFR/SVFR Farnborough
0424,ATC IFR/SVFR Farnborough
0425,ATC IFR/SVFR Farnborough
0426,ATC IFR/SVFR Farnborough
0427,ATC IFR/SVFR Farnborough
0430,ATC CONSPICUITY Hawarden
0430,ATC Edinburgh
0431,ATC Edinburgh
0432,ATC Edinburgh
0433,ATC Edinburgh
0434,ATC Edinburgh
0435,ATC Edinburgh
0436,ATC Edinburgh
0437,ATC Edinburgh
0430,CAS Farnborough
0431,CAS Farnborough
0432,CAS Farnborough
0433,CAS Farnborough
0434,CAS Farnborough
0435,CAS Farnborough
0436,CAS Farnborough
0437,CAS Farnborough
0438,CAS Farnborough
0439,CAS Farnborough
0440,CAS Farnborough
0441,CAS Farnborough
0442,CAS Farnborough
0443,CAS Farnborough
0444,CAS Farnborough
0445,CAS Farnborough
0446,CAS Farnborough
0447,CAS Farnborough
0448,CAS Farnborough
0449,CAS Farnborough
0450,CAS Farnborough
0451,CAS Farnborough
0452,CAS Farnborough
0453,CAS Farnborough
0454,CAS Farnborough
0455,CAS Farnborough
0456,CAS Farnborough
0431,ATC Hawarden
0432,ATC Hawarden
0433,ATC Hawarden
0434,ATC Hawarden
0435,ATC Hawarden
0436,ATC Hawarden
0437,ATC Hawarden
0438,ATC Hawarden
0439,ATC Hawarden
0440,ATC Hawarden
0441,ATC Hawarden
0442,ATC Hawarden
0443,ATC Hawarden
0444,ATC Hawarden
0445,ATC Hawarden
0446,ATC Hawarden
0440,CAS Edinburgh
0441,ATC Edinburgh
0442,ATC Edinburgh
0443,ATC Edinburgh
0450,ATC CONSPICUITY BASIC Blackpool
0451,ATC CONSPICUITY PROCEDURAL Blackpool
0452,ATC CONSPICUITY Morecambe Bay
0453,ATC CONSPICUITY Liverpool Bay
0455,ATC Ekofisk RMZ
0457,CAS VFR CONSPICUITY Farnborough
0460,ATC VFR Farnborough
0461,ATC VFR Farnborough
0462,ATC VFR Farnborough
0463,ATC VFR Farnborough
0464,ATC VFR Farnborough
0465,ATC VFR Farnborough
0466,ATC VFR Farnborough
0467,ATC VFR Farnborough
0462,USAFE
0463,USAFE
0464,USAFE
0465,USAFE
0466,USAFE
0467,USAFE
0500,RAF Air Command HQ
0600,RAF Air Command HQ
0601,ORIGIN Germany
0602,ORIGIN Germany
0603,ORIGIN Germany
0604,ORIGIN Germany
0605,ORIGIN Germany
0606,ORIGIN Germany
0607,ORIGIN Germany
0608,ORIGIN Germany
0609,ORIGIN Germany
0610,ORIGIN Germany
0611,ORIGIN Germany
0612,ORIGIN Germany
0613,ORIGIN Germany
0614,ORIGIN Germany
0615,ORIGIN Germany
0616,ORIGIN Germany
0617,ORIGIN Germany
0618,ORIGIN Germany
0619,ORIGIN Germany
0620,ORIGIN Germany
0621,ORIGIN Germany
0622,ORIGIN Germany
0623,ORIGIN Germany
0624,ORIGIN Germany
0625,ORIGIN Germany
0626,ORIGIN Germany
0627,ORIGIN Germany
0628,ORIGIN Germany
0629,ORIGIN Germany
0630,ORIGIN Germany
0631,ORIGIN Germany
0632,ORIGIN Germany
0633,ORIGIN Germany
0634,ORIGIN Germany
0635,ORIGIN Germany
0636,ORIGIN Germany
0637,ORIGIN Germany
0640,ORIGIN Paris
0641,ORIGIN Paris
0642,ORIGIN Paris
0643,ORIGIN Paris
0644,ORIGIN Paris
0645,ORIGIN Paris
0646,ORIGIN Paris
0647,ORIGIN Paris
0648,ORIGIN Paris
0649,ORIGIN Paris
0650,ORIGIN Paris
0651,ORIGIN Paris
0652,ORIGIN Paris
0653,ORIGIN Paris
0654,ORIGIN Paris
0655,ORIGIN Paris
0656,ORIGIN Paris
0657,ORIGIN Paris
0658,ORIGIN Paris
0659,ORIGIN Paris
0660,ORIGIN Paris
0661,ORIGIN Paris
0662,ORIGIN Paris
0663,ORIGIN Paris
0664,ORIGIN Paris
0665,ORIGIN Paris
0666,ORIGIN Paris
0667,ORIGIN Paris
0668,ORIGIN Paris
0669,ORIGIN Paris
0670,ORIGIN Paris
0671,ORIGIN Paris
0672,ORIGIN Paris
0673,ORIGIN Paris
0674,ORIGIN Paris
0675,ORIGIN Paris
0676,ORIGIN Paris
0677,ORIGIN Paris
0700,RAF Air Command HQ
0701,ORIGIN Maastricht
0702,ORIGIN Maastricht
0703,ORIGIN Maastricht
0704,ORIGIN Maastricht
0705,ORIGIN Maastricht
0706,ORIGIN Maastricht
0707,ORIGIN Maastricht
0708,ORIGIN Maastricht
0709,ORIGIN Maastricht
0710,ORIGIN Maastricht
0711,ORIGIN Maastricht
0712,ORIGIN Maastricht
0713,ORIGIN Maastricht
0714,ORIGIN Maastricht
0715,ORIGIN Maastricht
0716,ORIGIN Maastricht
0717,ORIGIN Maastricht
0718,ORIGIN Maastricht
0719,ORIGIN Maastricht
0720,ORIGIN Maastricht
0721,ORIGIN Maastricht
0722,ORIGIN Maastricht
0723,ORIGIN Maastricht
0724,ORIGIN Maastricht
0725,ORIGIN Maastricht
0726,ORIGIN Maastricht
0727,ORIGIN Maastricht
0770,ORIGIN Maastricht
0771,ORIGIN Maastricht
0772,ORIGIN Maastricht
0773,ORIGIN Maastricht
0774,ORIGIN Maastricht
0775,ORIGIN Maastricht
0776,ORIGIN Maastricht
0777,ORIGIN Maastricht
1000,MODE S ID
1001,ORIGIN Spain
1002,ORIGIN Spain
1003,ORIGIN Spain
1004,ORIGIN Spain
1005,ORIGIN Spain
1006,ORIGIN Spain
1007,ORIGIN Spain
1008,ORIGIN Spain
1009,ORIGIN Spain
1010,ORIGIN Spain
1011,ORIGIN Spain
1012,ORIGIN Spain
1013,ORIGIN Spain
1014,ORIGIN Spain
1015,ORIGIN Spain
1016,ORIGIN Spain
1017,ORIGIN Spain
1018,ORIGIN Spain
1019,ORIGIN Spain
1020,ORIGIN Spain
1021,ORIGIN Spain
1022,ORIGIN Spain
1023,ORIGIN Spain
1024,ORIGIN Spain
1025,ORIGIN Spain
1026,ORIGIN Spain
1027,ORIGIN Spain
1028,ORIGIN Spain
1029,ORIGIN Spain
1030,ORIGIN Spain
1031,ORIGIN Spain
1032,ORIGIN Spain
1033,ORIGIN Spain
1034,ORIGIN Spain
1035,ORIGIN Spain
1036,ORIGIN Spain
1037,ORIGIN Spain
1038,ORIGIN Spain
1039,ORIGIN Spain
1040,ORIGIN Spain
1041,ORIGIN Spain
1042,ORIGIN Spain
1043,ORIGIN Spain
1044,ORIGIN Spain
1045,ORIGIN Spain
1046,ORIGIN Spain
1047,ORIGIN Spain
1048,ORIGIN Spain
1049,ORIGIN Spain
1050,ORIGIN Spain
1051,ORIGIN Spain
1052,ORIGIN Spain
1053,ORIGIN Spain
1054,ORIGIN Spain
1055,ORIGIN Spain
1056,ORIGIN Spain
1057,ORIGIN Spain
1058,ORIGIN Spain
1059,ORIGIN Spain
1060,ORIGIN Spain
1061,ORIGIN Spain
1062,ORIGIN Spain
1063,ORIGIN Spain
1064,ORIGIN Spain
1065,ORIGIN Spain
1066,ORIGIN Spain
1067,ORIGIN Spain
1100,RAF Air Command HQ
1101,ORIGIN Germany
1102,ORIGIN Germany
1103,ORIGIN Germany
1104,ORIGIN Germany
1105,ORIGIN Germany
1106,ORIGIN Germany
1107,ORIGIN Germany
1108,ORIGIN Germany
